0x03F8,ARM-2
0x060C,ARM-2
0x15BC,ARM-0
0x1626,ARM-0
0x4312,Thumb
0x4317,Thumb
0x4D12,ARM-0
0x7912,Thumb
0x89FA,Thumb
0xA253,Thumb
0xB2A9,ARM-0
0xC7FE,Thumb
0xC950,ARM-0
0xCAA2,ARM-2
0xCD48,Thumb
0xCF8B,Thumb
0xD624,Thumb
0xDD37,Thumb
0xE07C,Thumb
0xE472,ARM-0
0xE69D,ARM-0
0xFF3B,ARM-2
0xFF41,ARM-2
0xFF61,ARM-2
0xFF6B,Thumb
0xFF78,ARM-0
0xFF79,Thumb
0xFF7B,Thumb
0xFF7E,Thumb
0xFF81,Thumb
0xFF83,Thumb
0xFF86,Thumb
0xFF8B,Thumb
0xFF8E,Thumb
0xFF96,Thumb
0xFF99,Thumb
0xFF9B,Thumb
0xFF9E,Thumb
0xFFA1,Thumb
0xFFA3,Thumb
0xFFAB,Thumb
0xFFAE,Thumb
0xFFB1,Thumb
0xFFB3,Thumb
0xFFB6,Thumb
0xFFB9,Thumb
0xFFBB,Thumb
0xFFC3,Thumb
0xFFC6,Thumb
0xFFC9,Thumb
0xFFCE,Thumb
0xFFD3,Thumb
0xFFF8,ARM-0
0xFFF9,Thumb